QueryAccVer,Taxon,Levels,species,genus,family,order,class,phylum,kingdom,method,DB,threshold
ASV_2392,Pseudocalanus newmani,species,Pseudocalanus newmani,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2396,Pseudocalanus mimus,species,Pseudocalanus mimus,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2397,Pseudocalanus newmani,species,Pseudocalanus newmani,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2428,Margalefidinium polykrikoides,species,Margalefidinium polykrikoides,Margalefidinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_2432,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2434,Cirratulidae,genus,NA,Cirratulidae,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2447,Skeletonema,genus,NA,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,95
ASV_2453,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2456,Homo sapiens,species,Homo sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Metazoa,Top hit,NCBI_nt,95
ASV_2457,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2467,Nothria conchylega,species,Nothria conchylega,Nothria,Onuphidae,Eunicida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2473,Leptodiaptomus minutus,species,Leptodiaptomus minutus,Leptodiaptomus,Diaptomidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2493,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2502,Cylindrotheca closterium,species,Cylindrotheca closterium,Cylindrotheca,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,95
ASV_2518,Terebellides stroemii,species,Terebellides stroemii,Terebellides,Trichobranchidae,Terebellida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2519,Coryphella verrucosa,species,Coryphella verrucosa,Coryphella,Coryphellidae,Nudibranchia,Gastropoda,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2545,Pentamera calcigera,species,Pentamera calcigera,Pentamera,Phyllophoridae,Dendrochirotida,Holothuroidea,Echinodermata,Metazoa,Top hit,NCBI_nt,95
ASV_2546,Candidatus Pelagibacter,species,Candidatus Pelagibacter,Candidatus,Pelagibacteraceae,Pelagibacterales,Alphaproteobacteria,Proteobacteria,NA,Top hit,NCBI_nt,95
ASV_2567,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2577,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2589,Alcyonidium mamillatum,species,Alcyonidium mamillatum,Alcyonidium,Alcyonidiidae,Ctenostomatida,Gymnolaemata,Bryozoa,Metazoa,Top hit,NCBI_nt,95
ASV_2593,Mallotus,genus,NA,Mallotus,Salangidae,Osmeriformes,Actinopteri,Chordata,Metazoa,Top hit,NCBI_nt,95
ASV_2608,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2621,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2637,Cirratulus cirratus,species,Cirratulus cirratus,Cirratulus,Cirratulidae,Spionida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2670,Gymnodinium,genus,NA,Gymnodinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_2680,Trochochaeta multisetosa,species,Trochochaeta multisetosa,Trochochaeta,Trochochaetidae,Spionida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2697,Ophiacantha bidentata,species,Ophiacantha bidentata,Ophiacantha,Ophiacanthidae,Ophiurida,Ophiuroidea,Echinodermata,Metazoa,Top hit,NCBI_nt,95
ASV_2715,Parengyodontium album,species,Parengyodontium album,Parengyodontium,Cordycipitaceae,Hypocreales,Sordariomycetes,Ascomycota,Fungi,Top hit,NCBI_nt,95
ASV_2719,Phycodrys fimbriata,species,Phycodrys fimbriata,Phycodrys,Delesseriaceae,Ceramiales,Florideophyceae,Rhodophyta,NA,Top hit,NCBI_nt,95
ASV_2720,Pseudocalanus newmani,species,Pseudocalanus newmani,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2722,Gonyaulacaceae,family,NA,NA,Gonyaulacaceae,Gonyaulacales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_2735,Praxillella praetermissa,species,Praxillella praetermissa,Praxillella,Maldanidae,Capitellida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2736,Hydrozoa,genus,NA,Hydrozoa,NA,NA,Hydrozoa,Cnidaria,Metazoa,Top hit,NCBI_nt,95
ASV_2737,Polyarthra dolichoptera,species,Polyarthra dolichoptera,Polyarthra,Synchaetidae,Ploima,Monogononta,Rotifera,Metazoa,Top hit,NCBI_nt,95
ASV_2746,Halisarca dujardini,species,Halisarca dujardini,Halisarca,Halisarcidae,Dendroceratida,Demospongiae,Porifera,Metazoa,Top hit,NCBI_nt,95
ASV_2765,Paranais litoralis,species,Paranais litoralis,Paranais,Naididae,Haplotaxida,Clitellata,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_2766,Thalassiosira punctigera,species,Thalassiosira punctigera,Thalassiosira,Thalassiosiraceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,95
ASV_2774,Lagenorhynchus acutus,species,Lagenorhynchus acutus,Lagenorhynchus,Delphinidae,Artiodactyla,Mammalia,Chordata,Metazoa,Top hit,NCBI_nt,95
ASV_2778,Lithothamnion glaciale,species,Lithothamnion glaciale,Lithothamnion,Hapalidiaceae,Hapalidiales,Florideophyceae,Rhodophyta,NA,Top hit,NCBI_nt,95
ASV_2802,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2843,Polyommatus nivescens,species,Polyommatus nivescens,Polyommatus,Lycaenidae,Lepidoptera,Insecta,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2906,Spirontocaris spinus,species,Spirontocaris spinus,Spirontocaris,Hippolytidae,Decapoda,Malacostraca,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_2909,Meiodiscus spetsbergensis,species,Meiodiscus spetsbergensis,Meiodiscus,Meiodiscaceae,Palmariales,Florideophyceae,Rhodophyta,NA,Top hit,NCBI_nt,95
ASV_2921,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2937,Clionaidae,family,NA,NA,Clionaidae,Clionaida,Demospongiae,Porifera,Metazoa,Top hit,NCBI_nt,95
ASV_2946,Heterocapsa rotundata,species,Heterocapsa rotundata,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_2969,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2982,Ancula gibbosa,species,Ancula gibbosa,Ancula,Goniodorididae,Nudibranchia,Gastropoda,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_2987,Gersemia rubiformis,species,Gersemia rubiformis,Gersemia,Nephtheidae,Alcyonacea,Anthozoa,Cnidaria,Metazoa,Top hit,NCBI_nt,95
ASV_3028,Myoxocephalus scorpius,species,Myoxocephalus scorpius,Myoxocephalus,Cottidae,Perciformes,Actinopteri,Chordata,Metazoa,Top hit,NCBI_nt,95
ASV_3071,Balanus,genus,NA,Balanus,Balanidae,Sessilia,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3074,Thelepus,genus,NA,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,95
ASV_3075,Polaribacter,genus,NA,Polaribacter,Flavobacteriaceae,Flavobacteriales,Flavobacteriia,Bacteroidetes,NA,Top hit,NCBI_nt,95
ASV_3083,Serripes laperousii,species,Serripes laperousii,Serripes,Cardiidae,Veneroida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_3114,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3117,Yoldia,genus,NA,Yoldia,Yoldiidae,Nuculanoida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,95
ASV_3145,Margalefidinium polykrikoides,species,Margalefidinium polykrikoides,Margalefidinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3225,Pseudocalanus minutus,species,Pseudocalanus minutus,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3265,Heterocapsa triquetra,species,Heterocapsa triquetra,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3277,Spirontocaris spinus,species,Spirontocaris spinus,Spirontocaris,Hippolytidae,Decapoda,Malacostraca,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3279,Metazoa,kingdom,NA,NA,NA,NA,NA,NA,Metazoa,Top hit,NCBI_nt,95
ASV_3280,Sarcoptiformes,genus,NA,Sarcoptiformes,NA,Sarcoptiformes,Arachnida,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3312,Caprella unica,species,Caprella unica,Caprella,Caprellidae,Amphipoda,Malacostraca,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3350,Teleaulax amphioxeia,species,Teleaulax amphioxeia,Teleaulax,Geminigeraceae,Pyrenomonadales,Cryptophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3353,Ischyrocerus,genus,NA,Ischyrocerus,Ischyroceridae,Amphipoda,Malacostraca,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3395,Dictyocha speculum,species,Dictyocha speculum,Dictyocha,NA,Dictyochales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3398,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_3422,Heterocapsa rotundata,species,Heterocapsa rotundata,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3445,Ahnfeltia plicata,species,Ahnfeltia plicata,Ahnfeltia,Ahnfeltiaceae,Ahnfeltiales,Florideophyceae,Rhodophyta,NA,Top hit,NCBI_nt,95
ASV_3453,Pseudocalanus newmani,species,Pseudocalanus newmani,Pseudocalanus,Clausocalanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,95
ASV_3466,Protodinium simplex,species,Protodinium simplex,Protodinium,Suessiaceae,Suessiales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3467,Azadinium,genus,NA,Azadinium,Amphidomataceae,Gonyaulacales,Dinophyceae,NA,NA,Top hit,NCBI_nt,95
ASV_3471,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,95
ASV_2,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_3,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_8,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_13,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_15,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_16,Heterocapsa rotundata,species,Heterocapsa rotundata,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_18,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_20,Morone saxatilis,species,Morone saxatilis,Morone,Moronidae,NA,Actinopteri,Chordata,Metazoa,Top hit,NCBI_nt,97
ASV_21,Pseudo-nitzschia delicatissima,species,Pseudo-nitzschia delicatissima,Pseudo-nitzschia,Bacillariaceae,Bacillariales,Bacillariophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,97
ASV_34,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_40,Dictyocha speculum,species,Dictyocha speculum,Dictyocha,NA,Dictyochales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_41,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_44,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_50,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_53,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_55,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_60,Dictyocha speculum,species,Dictyocha speculum,Dictyocha,NA,Dictyochales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_70,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_81,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_86,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_87,Oithona similis,species,Oithona similis,Oithona,Oithonidae,Cyclopoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_88,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_90,Prionospio steenstrupi,species,Prionospio steenstrupi,Prionospio,Spionidae,Spionida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,97
ASV_99,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_103,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_104,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_111,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_118,Aureococcus anophagefferens,species,Aureococcus anophagefferens,Aureococcus,NA,Pelagomonadales,Pelagophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_120,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_124,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_129,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_154,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_156,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_162,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_164,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_175,Attheya longicornis,species,Attheya longicornis,Attheya,Attheyaceae,Chaetocerotales,Coscinodiscophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,97
ASV_177,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_181,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_186,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_188,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_193,Emiliania huxleyi,species,Emiliania huxleyi,Emiliania,Noelaerhabdaceae,Isochrysidales,Haptophyta,Haptista,NA,Top hit,NCBI_nt,97
ASV_194,Heterocapsa rotundata,species,Heterocapsa rotundata,Heterocapsa,Heterocapsaceae,Peridiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_195,Cyanea capillata,species,Cyanea capillata,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Metazoa,Top hit,NCBI_nt,97
ASV_197,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_198,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_199,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_201,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_213,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_214,Ophiopholis aculeata,species,Ophiopholis aculeata,Ophiopholis,Ophiactidae,Ophiurida,Ophiuroidea,Echinodermata,Metazoa,Top hit,NCBI_nt,97
ASV_230,Homo sapiens,species,Homo sapiens,Homo,Hominidae,Primates,Mammalia,Chordata,Metazoa,Top hit,NCBI_nt,97
ASV_233,Nanomia cara,species,Nanomia cara,Nanomia,Agalmatidae,Siphonophorae,Hydrozoa,Cnidaria,Metazoa,Top hit,NCBI_nt,97
ASV_234,Spirontocaris spinus,species,Spirontocaris spinus,Spirontocaris,Hippolytidae,Decapoda,Malacostraca,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_239,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_249,Dictyocha speculum,species,Dictyocha speculum,Dictyocha,NA,Dictyochales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_253,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_254,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_258,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_274,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_281,Mytilus edulis,species,Mytilus edulis,Mytilus,Mytilidae,Mytiloida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,97
ASV_286,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_292,Margalefidinium polykrikoides,species,Margalefidinium polykrikoides,Margalefidinium,Gymnodiniaceae,Gymnodiniales,Dinophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_294,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_300,Dictyocha speculum,species,Dictyocha speculum,Dictyocha,NA,Dictyochales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_305,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_312,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_313,Cyanea,genus,NA,Cyanea,Cyaneidae,Semaeostomeae,Scyphozoa,Cnidaria,Metazoa,Top hit,NCBI_nt,97
ASV_318,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_320,Echinarachnius parma,species,Echinarachnius parma,Echinarachnius,Echinarachniidae,Clypeasteroida,Echinoidea,Echinodermata,Metazoa,Top hit,NCBI_nt,97
ASV_347,Polycirrus,genus,NA,Polycirrus,Terebellidae,Terebellida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,97
ASV_351,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_381,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_384,Morone saxatilis,species,Morone saxatilis,Morone,Moronidae,NA,Actinopteri,Chordata,Metazoa,Top hit,NCBI_nt,97
ASV_385,Pseudochattonella farcimen,species,Pseudochattonella farcimen,Pseudochattonella,NA,Florenciellales,Dictyochophyceae,NA,NA,Top hit,NCBI_nt,97
ASV_388,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_392,Skeletonema,genus,NA,Skeletonema,Skeletonemataceae,Thalassiosirales,Coscinodiscophyceae,Bacillariophyta,NA,Top hit,NCBI_nt,97
ASV_398,Chlamys islandica,species,Chlamys islandica,Chlamys,Pectinidae,Pectinoida,Bivalvia,Mollusca,Metazoa,Top hit,NCBI_nt,97
ASV_400,Metridia lucens,species,Metridia lucens,Metridia,Metridinidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_401,Calanus finmarchicus,species,Calanus finmarchicus,Calanus,Calanidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_406,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_411,Thelepus cincinnatus,species,Thelepus cincinnatus,Thelepus,Terebellidae,Terebellida,Polychaeta,Annelida,Metazoa,Top hit,NCBI_nt,97
ASV_421,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_422,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_425,Micromonas pusilla,species,Micromonas pusilla,Micromonas,Mamiellaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
ASV_430,Acartia longiremis,species,Acartia longiremis,Acartia,Acartiidae,Calanoida,Hexanauplia,Arthropoda,Metazoa,Top hit,NCBI_nt,97
ASV_433,Bathycoccus prasinos,species,Bathycoccus prasinos,Bathycoccus,Bathycoccaceae,Mamiellales,Mamiellophyceae,Chlorophyta,Viridiplantae,Top hit,NCBI_nt,97
